"season","posteam","offense_rank","opponent","defense_rank","week","game_id","home","player_id","full_name","position","pass_attempt","rec_attempt","rush_attempt","pass_completions","receptions","pass_yards_gained","rec_yards_gained","rush_yards_gained","pass_touchdown","rec_touchdown","rush_touchdown","pass_two_point_conv","rec_two_point_conv","rush_two_point_conv","pass_interception","rec_fumble_lost","total_fantasy_points","total_fantasy_points_exp","seasonavg_pass_attempt","seasonavg_rec_attempt","seasonavg_rush_attempt","seasonavg_pass_completions","seasonavg_receptions","seasonavg_pass_yards_gained","seasonavg_rec_yards_gained","seasonavg_rush_yards_gained","seasonavg_pass_touchdown","seasonavg_rec_touchdown","seasonavg_rush_touchdown","seasonavg_pass_two_point_conv","seasonavg_rec_two_point_conv","seasonavg_rush_two_point_conv","seasonavg_pass_interception","seasonavg_rec_fumble_lost","seasonavg_total_fantasy_points","last4avg_pass_attempt","last4avg_rec_attempt","last4avg_rush_attempt","last4avg_pass_completions","last4avg_receptions","last4avg_pass_yards_gained","last4avg_rec_yards_gained","last4avg_rush_yards_gained","last4avg_pass_touchdown","last4avg_rec_touchdown","last4avg_rush_touchdown","last4avg_pass_two_point_conv","last4avg_rec_two_point_conv","last4avg_rush_two_point_conv","last4avg_pass_interception","last4avg_rec_fumble_lost","last4avg_total_fantasy_points","lastweek_pass_attempt","lastweek_rec_attempt","lastweek_rush_attempt","lastweek_pass_completions","lastweek_receptions","lastweek_pass_yards_gained","lastweek_rec_yards_gained","lastweek_rush_yards_gained","lastweek_pass_touchdown","lastweek_rec_touchdown","lastweek_rush_touchdown","lastweek_pass_two_point_conv","lastweek_rec_two_point_conv","lastweek_rush_two_point_conv","lastweek_pass_interception","lastweek_rec_fumble_lost","lastweek_total_fantasy_points","depth_position"
"2023","NYJ",NA,"BUF",NA,1,"2023_01_BUF_NYJ",1,"00-0034521","Allen Lazard","WR",0,4,0,0,2,0,46,0,0,0,0,0,0,0,0,0,6.6,5.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR"
"2023","BUF",NA,"NYJ",NA,1,"2023_01_BUF_NYJ",0,"00-0037248","James Cook","RB",0,6,12,0,4,0,17,46,0,0,0,0,0,0,0,0,10.3,14.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"2023","BUF",NA,"NYJ",NA,1,"2023_01_BUF_NYJ",0,"00-0038933","Dalton Kincaid","TE",0,4,0,0,4,0,26,0,0,0,0,0,0,0,0,0,6.6,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TE"
"2023","BUF",NA,"NYJ",NA,1,"2023_01_BUF_NYJ",0,"00-0036196","Gabe Davis","WR",0,4,0,0,2,0,32,0,0,0,0,0,0,0,0,0,5.2,6.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR"
"2023","NYJ",NA,"BUF",NA,1,"2023_01_BUF_NYJ",1,"00-0034270","Tyler Conklin","TE",0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1.2,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TE"
"2023","NYJ",NA,"BUF",NA,1,"2023_01_BUF_NYJ",1,"00-0028002","Randall Cobb","WR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR"
"2023","NYJ",NA,"BUF",NA,1,"2023_01_BUF_NYJ",1,"00-0038120","Breece Hall","RB",0,2,10,0,1,0,20,127,0,0,0,0,0,0,0,0,15.7,7.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"2023","BUF",NA,"NYJ",NA,1,"2023_01_BUF_NYJ",0,"00-0030513","Latavius Murray","RB",0,2,2,0,1,0,9,8,0,0,0,0,0,0,0,0,2.7,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"2023","ATL",NA,"CAR",NA,1,"2023_01_CAR_ATL",1,"00-0038122","Desmond Ridder","QB",18,1,1,15,1,115,-6,-1,1,0,0,0,0,0,0,0,8.9,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QB"
"2023","CAR",NA,"ATL",NA,1,"2023_01_CAR_ATL",0,"00-0039150","Bryce Young","QB",38,0,3,20,0,146,0,17,1,0,0,0,0,0,2,0,7.54,12.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QB"
